"","id","index","period","timestamp","minute","second","possession","duration","related_events","location","under_pressure","counterpress","type.id","type.name","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","tactics.formation","tactics.lineup","player.id","player.name","position.id","position.name","pass.length","pass.angle","pass.end_location","pass.switch","pass.cross","pass.assisted_shot_id","pass.shot_assist","pass.aerial_won","pass.deflected","pass.backheel","pass.through_ball","pass.cut_back","pass.goal_assist","pass.recipient.id","pass.recipient.name","pass.height.id","pass.height.name","pass.body_part.id","pass.body_part.name","pass.type.id","pass.type.name","pass.outcome.id","pass.outcome.name","pass.technique.id","pass.technique.name","carry.end_location","ball_receipt.outcome.id","ball_receipt.outcome.name","interception.outcome.id","interception.outcome.name","duel.outcome.id","duel.outcome.name","duel.type.id","duel.type.name","shot.statsbomb_xg","shot.end_location","shot.key_pass_id","shot.freeze_frame","shot.first_time","shot.aerial_won","shot.type.id","shot.type.name","shot.body_part.id","shot.body_part.name","shot.technique.id","shot.technique.name","shot.outcome.id","shot.outcome.name","goalkeeper.end_location","goalkeeper.outcome.id","goalkeeper.outcome.name","goalkeeper.technique.id","goalkeeper.technique.name","goalkeeper.type.id","goalkeeper.type.name","goalkeeper.position.id","goalkeeper.position.name","goalkeeper.body_part.id","goalkeeper.body_part.name","foul_won.defensive","foul_won.penalty","foul_won.advantage","dribble.overrun","dribble.outcome.id","dribble.outcome.name","substitution.outcome.id","substitution.outcome.name","substitution.replacement.id","substitution.replacement.name","block.deflection","block.save_block","clearance.aerial_won","foul_committed.offensive","foul_committed.penalty","foul_committed.advantage","foul_committed.type.id","foul_committed.type.name","foul_committed.card.id","foul_committed.card.name","injury_stoppage.in_chain","ball_recovery.recovery_failure","ball_recovery.offensive","match_id","competition_id","season_id","shot.open_goal","shot.one_on_one","miscontrol.aerial_won","block.offensive","bad_behaviour.card.id","bad_behaviour.card.name","dribble.nutmeg","50_50.outcome.id","50_50.outcome.name","shot.follows_dribble","shot.deflected","shot.redirect","off_camera","out","pass.no_touch","pass.outswinging","pass.inswinging","pass.miscommunication","clearance.head","clearance.left_foot","clearance.right_foot","clearance.body_part.id","clearance.body_part.name","shot.saved_off_target","goalkeeper.punched_out","goalkeeper.shot_saved_off_target","player_off.permanent","shot.saved_to_post","goalkeeper.shot_saved_to_post","goalkeeper.penalty_saved_to_post","dribble.no_touch","pass.straight","clearance.other","location.x","location.y","carry.end_location.x","carry.end_location.y","pass.end_location.x","pass.end_location.y","shot.end_location.x","shot.end_location.y","shot.end_location.z","shot_impact_height","player.name.GK","player.id.GK","location.x.GK","location.y.GK","DistToGoal","DistToKeeper","AngleToGoal","AngleToKeeper","AngleDeviation","avevelocity","DistSGK","density","density.incone","distance.ToD1","distance.ToD2","AttackersBehindBall","DefendersBehindBall","DefendersInCone","InCone.GK","DefArea","distance.ToD1.360","distance.ToD2.360","milliseconds","ElapsedTime","StartOfPossession","TimeInPoss","TimeToPossEnd"
"1","df0be275-341c-493b-9bb6-0d8678529d40","15","1","00:00:11.160","0","11","2","1.439","9b066036-0d8d-4aef-9956-acaa4e1fcc5a","c(65, 75)","NA","NA","30","Pass","768","England","9","From Kick Off","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","26.400757","-2.0005586","c(54, 51)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3244","John Stones","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","65","75","NA","NA","54","51","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","160","11.16","0.92","10.24","28.639"
"2","b0b5381d-bada-464f-81c7-0c8d971b3f0c","110","1","00:02:17.520","2","17","8","1.479","b97bd97f-c92f-40ac-a31f-ca32ae6cfdde","c(33, 77)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","15.264338","-2.5899377","c(20, 69)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3314","Phil Jones","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","33","77","NA","NA","20","69","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","520","137.52","126.519","11.001","7.63999999999999"
"3","55be2a67-ca1e-4cae-8dc4-cb3063ee4c39","152","1","00:02:57.040","2","57","10","1.16","c(""1c7f851f-2b81-43a1-be18-1e585824a596"", ""ec222116-8e65-4c27-9ca8-9fc9cd941820"")","c(34, 77)","TRUE","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","24","-1.5707964","c(34, 53)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3244","John Stones","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","34","77","NA","NA","34","53","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40","177.04","166.72","10.32","15.64"
"4","93d80f8d-b66d-41b5-ac01-059731d2c663","185","1","00:03:43.880","3","43","11","1.239","adc76ff4-c213-451c-9277-17abdd6ff0de","c(70, 70)","NA","NA","30","Pass","768","England","4","From Throw In","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","19.235384","-1.4141945","c(73, 51)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","10956","Eric Dier","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","70","70","NA","NA","73","51","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","880","223.88","212.88","11","12"
"5","4e791932-9c89-47b4-afeb-bcf4b642335c","284","1","00:05:28.600","5","28","14","0.799","f950b162-75ee-4691-a1c1-f955b4251323","c(28, 77)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","11.661903","-1.0303768","c(34, 67)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","10956","Eric Dier","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28","77","NA","NA","34","67","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","600","328.6","323.987","4.613","2.23999999999995"
"6","7d21c495-f115-4bd8-b441-4a373d0b2b64","310","1","00:06:12.000","6","12","17","1.64","be5fe269-94eb-4bc1-b8e2-eaf66fa42e6f","c(70, 79)","NA","NA","30","Pass","768","England","4","From Throw In","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","29.427877","-2.9708574","c(41, 74)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3314","Phil Jones","2","Low Pass","NA",NA,"67","Throw-in","NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","70","79","NA","NA","41","74","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","372","372","0","20"
"7","bdee6379-1960-46da-b149-73cd4180a313","393","1","00:08:21.480","8","21","23","1","7dc6fecd-7675-4c97-85a4-b61cf66cba40","c(31, 76)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","17.720045","-1.2847449","c(36, 59)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","10956","Eric Dier","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","31","76","NA","NA","36","59","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","480","501.48","472.32","29.16","12.24"
"8","87577f78-0374-4dad-9726-668eaadc24e7","486","1","00:10:10.040","10","10","26","0.8","c8a55dcb-e9f4-45cb-a22b-c78905f831a6","c(58, 61)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","14.3178215","-0.21109334","c(72, 58)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3504","Ruben Loftus-Cheek","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","58","61","NA","NA","72","58","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40","610.04","600.84","9.19999999999993","21.88"
"9","5292a722-5a97-4241-9dee-56f18849449a","492","1","00:10:13.240","10","13","26","0.879","431fb02e-2c20-468f-970f-4d4ea6fbe9c2","c(67, 62)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","5.0990195","-1.7681919","c(66, 57)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3318","Marcus Rashford","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","67","62","NA","NA","66","57","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","240","613.24","600.84","12.4","18.6799999999999"
"10","1c7077e7-6d6c-4acd-b960-f903dd1ea1de","584","1","00:13:03.320","13","3","30","0.959","5af927e4-917e-441c-baa7-74aaaea67e71","c(116, 68)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","25.317978","-1.7294515","c(112, 43)","NA","TRUE","2f9828cb-a601-4020-9d25-2555e4515759","TRUE","NA","NA","NA","NA","NA","NA","10960","Jamie Vardy","3","High Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","116","68","NA","NA","112","43","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","320","783.32","743.92","39.4000000000001","3.15999999999997"
"11","1158cbb7-bde7-432f-a464-5b02668c6163","610","1","00:13:50.520","13","50","32","1.32","d9bef6c4-1ecd-4536-ac9e-fa0814a2acb7","c(36, 71)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","28.442924","-1.7475052","c(31, 43)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3244","John Stones","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","36","71","NA","NA","31","43","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","520","830.52","818.24","12.28","15.8000000000001"
"12","b38b468d-c11e-47cf-ba2d-e9ed46671866","695","1","00:15:08.680","15","8","36","2.28","c(""c18ddc1b-0ae6-4848-9216-8de0ce424956"", ""f58649a2-77ac-4dc6-912e-4cbaf3d5f21d"")","c(32, 58)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","26.076809","-2.5748634","c(10, 44)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3468","Jordan Pickford","3","High Pass","37","Head","66","Recovery","NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","32","58","NA","NA","10","44","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","680","908.68","908.68","0","30.12"
"13","101e3ac9-2450-4f2b-ae8b-180190366e22","712","1","00:15:24.560","15","24","36","2.159","227768e9-a5cf-4bc6-83d5-e22c96930a87","c(33, 76)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","35.510563","-1.7405746","c(27, 41)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3244","John Stones","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","33","76","NA","NA","27","41","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","560","924.56","908.68","15.88","14.24"
"14","30ebea54-0390-4ccb-88d8-e6f94ca589de","753","1","00:15:56.600","15","56","38","0.72","0c107af1-f7aa-45ec-95f6-2a6a5d9609c4","c(51, 64)","NA","NA","30","Pass","768","England","1","Regular Play","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","5.656854","-0.7853982","c(55, 60)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","10956","Eric Dier","1","Ground Pass","40","Right Foot","NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51","64","NA","NA","55","60","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","600","956.6","954.24","2.36000000000001","19.8"
"15","6ab57e39-46fb-4109-aeff-7e7da6889238","836","1","00:17:56.587","17","56","42","1.213","f75a1a99-6731-46a9-b7de-db7a67ea6f3f","c(64, 63)","NA","NA","30","Pass","768","England","3","From Free Kick","768","England","NA","NULL","3664","Trent Alexander-Arnold","12","Right Midfield","11.7046995","-2.7928216","c(53, 59)","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","3314","Phil Jones","1","Ground Pass","40","Right Foot","62","Free Kick","NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NULL",NA,"NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA","NA","NA","7570","43","3","NA","NA","NA","NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64","63","NA","NA","53","59","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","587","1076.587","1076.587","0","49.6130000000001"
